Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
at100->-0.018107 at101->1.035429 at102->2.039671 at103->2.95158 at104->4.01593 at105->4.995199 at106->6.040845 at107->7.039333 at108->7.975917 at109->8.953614 at110->10.039351 at111->11.045767 at112->12.047818	2020 Jul 09 - 14:47:09	001594298829.722
at100->0.041148 at101->1.010777 at102->1.958611 at103->2.986804 at104->3.954215 at105->4.998944 at106->6.002614 at107->6.950799 at108->7.966718 at109->8.975543 at110->10.036221 at111->10.975705 at112->12.047584	2020 Jul 09 - 14:47:10	001594298830.742
at100->-0.016816 at101->0.978989 at102->1.972383 at103->2.982144 at104->4.018662 at105->5.031253 at106->5.97926 at107->7.014443 at108->7.999988 at109->8.963438 at110->9.977704 at111->11.029565 at112->11.987561	2020 Jul 09 - 14:47:11	001594298831.756
at100->-0.000724 at101->1.012085 at102->1.950249 at103->3.030613 at104->4.04813 at105->5.012145 at106->5.968853 at107->7.026631 at108->8.033752 at109->9.046503 at110->9.96615 at111->10.984104 at112->11.99449	2020 Jul 09 - 14:47:12	001594298832.783
at100->0.030141 at101->0.971935 at102->1.990997 at103->3.023648 at104->3.962057 at105->5.042726 at106->5.995118 at107->6.982447 at108->8.012027 at109->8.957976 at110->9.966169 at111->10.95944 at112->12.026728	2020 Jul 09 - 14:47:13	001594298833.799
at100->0.018601 at101->0.993925 at102->2.04756 at103->3.001268 at104->3.983743 at105->4.964049 at106->5.957716 at107->7.027012 at108->7.975058 at109->8.972105 at110->9.975299 at111->11.049622 at112->11.988576	2020 Jul 09 - 14:47:14	001594298834.821
at100->-0.04301 at101->0.974045 at102->1.976956 at103->3.035463 at104->4.016716 at105->5.010046 at106->6.040539 at107->7.022005 at108->7.959811 at109->9.030907 at110->9.966352 at111->10.961988 at112->11.995998	2020 Jul 09 - 14:47:15	001594298835.838
at100->0.039641 at101->1.039018 at102->2.022929 at103->3.008272 at104->4.040449 at105->4.996789 at106->6.034599 at107->7.021751 at108->7.957864 at109->9.012166 at110->9.978702 at111->10.951436 at112->12.010496	2020 Jul 09 - 14:47:16	001594298836.864
at100->-0.023772 at101->0.96651 at102->1.973614 at103->2.99071 at104->4.000618 at105->4.990814 at106->5.978024 at107->6.96713 at108->8.02195 at109->8.976302 at110->9.990091 at111->10.999742 at112->11.961469	2020 Jul 09 - 14:47:17	001594298837.890
at100->-0.012974 at101->0.989809 at102->1.968397 at103->3.040248 at104->3.959591 at105->4.995954 at106->5.996377 at107->7.033249 at108->8.034514 at109->8.996169 at110->9.951436 at111->10.951871 at112->12.00568	2020 Jul 09 - 14:47:18	001594298838.911
at100->0.036796 at101->0.97501 at102->1.960549 at103->2.985118 at104->4.036104 at105->4.959522 at106->5.963449 at107->6.960763 at108->7.977864 at109->8.966253 at110->9.950334 at111->11.030389 at112->12.025831	2020 Jul 09 - 14:47:19	001594298839.932
at100->0.030166 at101->0.958688 at102->1.986107 at103->3.020791 at104->3.960344 at105->5.000717 at106->6.002649 at107->7.001049 at108->8.018488 at109->9.00877 at110->9.960965 at111->11.048189 at112->11.993717	2020 Jul 09 - 14:47:20	001594298840.953
at100->0.019277 at101->0.988092 at102->2.041584 at103->3.010765 at104->3.997245 at105->5.045129 at106->5.986293 at107->7.02231 at108->8.033856 at109->9.017226 at110->10.017109 at111->10.967601 at112->12.042342	2020 Jul 09 - 14:47:21	001594298841.979
at100->-0.026114 at101->0.989041 at102->2.042885 at103->2.9916 at104->3.977853 at105->4.998314 at106->5.970336 at107->6.9557 at108->7.967317 at109->9.016963 at110->10.029221 at111->11.049172 at112->11.986468	2020 Jul 09 - 14:47:22	001594298843.000
at100->0.038718 at101->0.982413 at102->2.042142 at103->3.003046 at104->4.046239 at105->4.992903 at106->6.018928 at107->7.033149 at108->8.047224 at109->9.025518 at110->9.986284 at111->10.964289 at112->12.007943	2020 Jul 09 - 14:47:24	001594298844.029
at100->0.019071 at101->1.009753 at102->2.049093 at103->2.951426 at104->3.964229 at105->4.96455 at106->6.045347 at107->7.039424 at108->8.028391 at109->8.99284 at110->10.048182 at111->11.034523 at112->11.955956	2020 Jul 09 - 14:47:25	001594298845.044
at100->-0.019784 at101->1.007568 at102->2.009549 at103->3.009763 at104->4.029882 at105->4.98639 at106->5.995744 at107->7.026468 at108->7.983525 at109->8.999468 at110->9.954983 at111->10.951424 at112->12.040954	2020 Jul 09 - 14:47:26	001594298846.078
at100->-0.035798 at101->0.953806 at102->1.996532 at103->3.008266 at104->3.9601 at105->5.02263 at106->5.985961 at107->6.985796 at108->7.952271 at109->9.017893 at110->10.028295 at111->10.995729 at112->12.027541	2020 Jul 09 - 14:47:27	001594298847.105
at100->-0.029915 at101->1.001887 at102->2.005533 at103->3.012489 at104->3.992837 at105->5.01722 at106->5.950046 at107->6.996525 at108->8.004972 at109->8.987021 at110->9.973162 at111->11.015011 at112->12.001048	2020 Jul 09 - 14:47:28	001594298848.127
at100->-0.007158 at101->1.019825 at102->2.003863 at103->2.952476 at104->4.011228 at105->4.96791 at106->6.035505 at107->7.015385 at108->7.989332 at109->8.998099 at110->10.001318 at111->10.974304 at112->11.96468	2020 Jul 09 - 14:47:29	001594298849.155
at100->0.009614 at101->0.990297 at102->2.030098 at103->2.968966 at104->4.001072 at105->4.990234 at106->5.991602 at107->6.962365 at108->8.038324 at109->9.01846 at110->9.984434 at111->10.95218 at112->11.960611	2020 Jul 09 - 14:47:30	001594298850.190
at100->-0.013617 at101->0.99403 at102->1.976765 at103->3.012761 at104->3.964331 at105->4.963117 at106->6.028261 at107->7.002907 at108->7.975151 at109->8.998034 at110->9.952939 at111->11.037789 at112->12.041693	2020 Jul 09 - 14:47:31	001594298851.205
at100->-0.048479 at101->1.031943 at102->2.022244 at103->3.036256 at104->4.033912 at105->4.98603 at106->5.971915 at107->7.021704 at108->7.959194 at109->9.000094 at110->9.976091 at111->11.020633 at112->12.027266	2020 Jul 09 - 14:47:32	001594298852.221
at100->-0.003715 at101->0.993038 at102->2.036463 at103->3.003023 at104->3.986517 at105->5.016724 at106->5.960087 at107->6.972256 at108->7.99764 at109->8.952489 at110->9.988834 at111->11.002177 at112->11.981026	2020 Jul 09 - 14:47:33	001594298853.256
at100->0.042748 at101->1.005578 at102->1.991252 at103->2.976669 at104->3.978586 at105->5.015516 at106->6.013936 at107->7.027789 at108->8.019085 at109->9.033708 at110->9.960309 at111->10.996542 at112->12.038291	2020 Jul 09 - 14:47:34	001594298854.284
at100->-0.039923 at101->0.958768 at102->1.960711 at103->3.044239 at104->4.038517 at105->4.989589 at106->6.027238 at107->7.020441 at108->8.015964 at109->8.974253 at110->9.980725 at111->10.987001 at112->11.990577	2020 Jul 09 - 14:47:35	001594298855.318
at100->-0.043109 at101->0.959314 at102->2.014115 at103->2.959358 at104->4.011412 at105->4.973154 at106->5.963519 at107->7.028378 at108->7.968097 at109->8.996506 at110->10.018735 at111->10.98631 at112->11.975972	2020 Jul 09 - 14:47:36	001594298856.338
at100->-0.027067 at101->0.957435 at102->1.96533 at103->3.036845 at104->3.980852 at105->5.00747 at106->6.037265 at107->7.00013 at108->8.024999 at109->8.971289 at110->9.983554 at111->11.021246 at112->11.983656 at113->13.029392	2020 Jul 09 - 14:47:37	001594298857.390
at100->-0.036227 at101->0.950439 at102->1.952855 at103->3.025839 at104->3.971479 at105->4.954667 at106->6.040232 at107->7.033465 at108->7.995842 at109->8.990735 at110->9.979641 at111->10.997338 at112->12.003668 at113->13.036614	2020 Jul 09 - 14:47:38	001594298858.405
at100->0.025231 at101->0.989637 at102->2.03257 at103->3.023172 at104->3.984918 at105->4.992068 at106->6.029646 at107->7.04953 at108->7.990595 at109->8.988223 at110->9.997527 at111->10.96598 at112->11.999496 at113->13.03584	2020 Jul 09 - 14:47:39	001594298859.431
at100->0.025406 at101->0.980469 at102->1.998303 at103->3.030931 at104->4.018424 at105->4.993134 at106->5.965132 at107->6.962892 at108->7.994113 at109->8.960342 at110->10.004049 at111->11.047864 at112->12.025773 at113->13.047174	2020 Jul 09 - 14:47:40	001594298860.451
at100->0.012067 at101->0.957883 at102->1.988901 at103->3.022177 at104->4.042071 at105->5.020367 at106->6.031973 at107->6.991006 at108->8.007507 at109->8.958031 at110->10.005323 at111->11.002687 at112->12.018227 at113->13.015759	2020 Jul 09 - 14:47:41	001594298861.479
at100->-0.027303 at101->0.992002 at102->2.020916 at103->3.003895 at104->4.000497 at105->4.981709 at106->6.032878 at107->6.972695 at108->8.035088 at109->8.989247 at110->9.961188 at111->10.989716 at112->12.005009 at113->13.003712	2020 Jul 09 - 14:47:42	001594298862.506
at100->0.018704 at101->0.967846 at102->2.038426 at103->3.01185 at104->3.997685 at105->5.03668 at106->6.033869 at107->7.043294 at108->7.976725 at109->8.971074 at110->10.006402 at111->11.00675 at112->11.991065 at113->13.021937	2020 Jul 09 - 14:47:43	001594298863.526
at100->-0.023095 at101->1.001991 at102->2.017918 at103->3.022434 at104->4.040914 at105->4.996348 at106->6.000894 at107->7.005379 at108->7.981433 at109->9.034666 at110->10.025196 at111->10.985713 at112->11.99918 at113->12.990291	2020 Jul 09 - 14:47:44	001594298864.552
at100->-0.035073 at101->0.977173 at102->1.985412 at103->2.992263 at104->4.028363 at105->4.961153 at106->5.952397 at107->7.013361 at108->8.014635 at109->9.00904 at110->9.98898 at111->11.022322 at112->12.042325 at113->13.047012	2020 Jul 09 - 14:47:45	001594298865.567
at100->-0.036694 at101->1.037368 at102->1.99183 at103->2.972872 at104->4.030199 at105->5.021561 at106->6.025788 at107->7.028865 at108->8.018862 at109->9.002502 at110->9.964325 at111->10.951496 at112->11.96796 at113->13.026434	2020 Jul 09 - 14:47:46	001594298866.593
at100->0.038863 at101->0.955341 at102->2.009349 at103->3.014573 at104->4.033663 at105->4.998503 at106->6.009473 at107->6.954847 at108->7.971726 at109->9.015837 at110->10.006502 at111->10.957143 at112->11.998201 at113->12.992961	2020 Jul 09 - 14:47:47	001594298867.607
at100->0.027445 at101->1.031439 at102->1.983893 at103->3.03298 at104->3.966437 at105->4.996075 at106->6.000364 at107->7.044611 at108->8.046613 at109->8.977564 at110->9.973172 at111->10.989167 at112->11.958166 at113->13.021001	2020 Jul 09 - 14:47:48	001594298868.619
at100->-0.048554 at101->0.982625 at102->1.975971 at103->2.954402 at104->4.010172 at105->5.026403 at106->5.980404 at107->6.953431 at108->7.991772 at109->8.954643 at110->9.990182 at111->11.020279 at112->11.975912 at113->12.988898	2020 Jul 09 - 14:47:49	001594298869.636
