Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
00.3984911439	2020 Jul 13 - 10:37:27	001594629447.086
00.3247245446	2020 Jul 13 - 10:37:28	001594629448.101
00.2136111516	2020 Jul 13 - 10:37:29	001594629449.125
-0.7102846045	2020 Jul 13 - 10:37:30	001594629450.133
00.7004223251	2020 Jul 13 - 10:37:31	001594629451.148
-0.9930919506	2020 Jul 13 - 10:37:32	001594629452.167
00.1405326275	2020 Jul 13 - 10:37:33	001594629453.196
-0.3837507648	2020 Jul 13 - 10:37:34	001594629454.227
-0.3818600522	2020 Jul 13 - 10:37:35	001594629455.245
00.5574930181	2020 Jul 13 - 10:37:36	001594629456.261
00.8411095382	2020 Jul 13 - 10:37:37	001594629457.272
00.6765860633	2020 Jul 13 - 10:37:38	001594629458.289
-0.8539565118	2020 Jul 13 - 10:37:39	001594629459.305
-0.9197687841	2020 Jul 13 - 10:37:40	001594629460.316
-0.3870291148	2020 Jul 13 - 10:37:41	001594629461.332
00.2666707162	2020 Jul 13 - 10:37:42	001594629462.349
00.9478005499	2020 Jul 13 - 10:37:43	001594629463.365
-0.9434260167	2020 Jul 13 - 10:37:44	001594629464.387
-0.2085319577	2020 Jul 13 - 10:37:45	001594629465.399
00.2719170537	2020 Jul 13 - 10:37:46	001594629466.415
00.1323945630	2020 Jul 13 - 10:37:47	001594629467.431
00.4881978253	2020 Jul 13 - 10:37:48	001594629468.452
-0.8927620808	2020 Jul 13 - 10:37:49	001594629469.477
-0.9128936768	2020 Jul 13 - 10:37:50	001594629470.488
-0.5066375637	2020 Jul 13 - 10:37:51	001594629471.505
00.1490490791	2020 Jul 13 - 10:37:52	001594629472.534
00.4225347470	2020 Jul 13 - 10:37:53	001594629473.551
-0.5111059420	2020 Jul 13 - 10:37:54	001594629474.567
-0.0318278146	2020 Jul 13 - 10:37:55	001594629475.578
-0.8142198103	2020 Jul 13 - 10:37:56	001594629476.589
00.2203446589	2020 Jul 13 - 10:37:57	001594629477.598
00.1190970364	2020 Jul 13 - 10:37:58	001594629478.609
00.7296357074	2020 Jul 13 - 10:37:59	001594629479.626
00.6026018393	2020 Jul 13 - 10:38:00	001594629480.649
00.5797981845	2020 Jul 13 - 10:38:01	001594629481.665
00.9974312850	2020 Jul 13 - 10:38:02	001594629482.681
-0.3524091021	2020 Jul 13 - 10:38:03	001594629483.691
-0.0829378997	2020 Jul 13 - 10:38:04	001594629484.701
-0.5737261330	2020 Jul 13 - 10:38:05	001594629485.726
00.4112800288	2020 Jul 13 - 10:38:06	001594629486.744
00.2191993345	2020 Jul 13 - 10:38:07	001594629487.760
